epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,4585.23,1.04359,0.87204,1.18955,0.93579,0.84142,0.91626,0.70936,0.96501,0.79065,1.17148,0.007723,0.007723,0.007723
25,4778.51,1.0363,0.86811,1.18523,0.93959,0.84853,0.92001,0.71967,0.94213,0.76063,1.16666,0.007624,0.007624,0.007624
26,4968.02,1.02825,0.86129,1.17792,0.92974,0.8515,0.91942,0.7189,0.93693,0.76342,1.15768,0.007525,0.007525,0.007525
27,5158.7,1.02149,0.84331,1.17494,0.94149,0.85045,0.92225,0.72453,0.92953,0.74376,1.1537,0.007426,0.007426,0.007426
28,5349.76,1.01523,0.84025,1.16893,0.93616,0.85846,0.9244,0.7301,0.91952,0.72899,1.14446,0.007327,0.007327,0.007327
29,5539.47,1.008,0.82265,1.16861,0.9343,0.86033,0.92573,0.73122,0.91938,0.72203,1.14837,0.007228,0.007228,0.007228
30,5730.58,1.00016,0.81516,1.16506,0.9395,0.86418,0.92912,0.73658,0.91871,0.71552,1.14351,0.007129,0.007129,0.007129
31,5922.28,0.99703,0.80394,1.15851,0.94099,0.85922,0.92941,0.73862,0.90243,0.69625,1.13557,0.00703,0.00703,0.00703
32,6113.73,0.99153,0.79912,1.15807,0.94051,0.86218,0.93052,0.74396,0.88904,0.69051,1.13147,0.006931,0.006931,0.006931
33,6303.94,0.98391,0.79401,1.15116,0.94022,0.86594,0.93306,0.74754,0.88906,0.68197,1.12788,0.006832,0.006832,0.006832
34,6494.72,0.98047,0.78279,1.14861,0.94879,0.86437,0.93429,0.74969,0.88264,0.67199,1.12161,0.006733,0.006733,0.006733
35,6685.67,0.97603,0.78026,1.14666,0.9449,0.87005,0.93533,0.75252,0.87854,0.6682,1.12058,0.006634,0.006634,0.006634
36,6863.65,0.9728,0.77936,1.14466,0.95027,0.87209,0.93824,0.75582,0.86858,0.65586,1.11519,0.006535,0.006535,0.006535
37,7186.9,0.96405,0.76279,1.14095,0.94398,0.87599,0.9389,0.75932,0.86954,0.64814,1.10782,0.006436,0.006436,0.006436
38,7557.91,0.9606,0.75405,1.13951,0.94987,0.87318,0.9385,0.76091,0.86343,0.64591,1.11081,0.006337,0.006337,0.006337
39,7921.05,0.96172,0.75591,1.13556,0.94521,0.88236,0.94035,0.76326,0.8558,0.6377,1.10388,0.006238,0.006238,0.006238
40,8283.81,0.9554,0.75013,1.13717,0.94684,0.87593,0.94099,0.76657,0.8485,0.63474,1.10058,0.006139,0.006139,0.006139
41,8646.14,0.95303,0.75158,1.13225,0.95206,0.87942,0.94174,0.76976,0.8414,0.62388,1.09446,0.00604,0.00604,0.00604
42,9017.12,0.94244,0.73194,1.12693,0.94146,0.8865,0.94282,0.77076,0.83714,0.62136,1.09401,0.005941,0.005941,0.005941
43,9372.73,0.94375,0.7341,1.12515,0.95023,0.88334,0.94281,0.77307,0.83952,0.61851,1.09211,0.005842,0.005842,0.005842
44,9726.52,0.93415,0.72714,1.11909,0.94827,0.88353,0.94402,0.77459,0.83384,0.60948,1.08722,0.005743,0.005743,0.005743
45,10076.9,0.93341,0.71918,1.1219,0.94862,0.88703,0.94476,0.77578,0.82934,0.60581,1.08545,0.005644,0.005644,0.005644
46,10427.1,0.92597,0.70996,1.11975,0.95385,0.88537,0.94466,0.77806,0.82639,0.60135,1.0881,0.005545,0.005545,0.005545
47,10802.2,0.91744,0.70519,1.11253,0.95485,0.88435,0.94565,0.7801,0.82171,0.59698,1.08062,0.005446,0.005446,0.005446
48,11149.8,0.91763,0.70237,1.11139,0.95169,0.89009,0.94619,0.78129,0.81864,0.59477,1.07744,0.005347,0.005347,0.005347
49,11496.3,0.91515,0.69903,1.10782,0.9515,0.89122,0.94661,0.78496,0.80706,0.58546,1.07064,0.005248,0.005248,0.005248
50,11840.7,0.91074,0.69185,1.10574,0.95027,0.89298,0.94804,0.78682,0.8062,0.58205,1.07125,0.005149,0.005149,0.005149
51,12186.1,0.90707,0.68895,1.10461,0.95462,0.89108,0.94838,0.78814,0.80096,0.57539,1.06685,0.00505,0.00505,0.00505
52,12532,0.90119,0.68545,1.10233,0.95176,0.89346,0.94848,0.78996,0.79901,0.57542,1.0643,0.004951,0.004951,0.004951
53,12884.2,0.89734,0.67993,1.09872,0.95201,0.89474,0.94841,0.7918,0.7947,0.57316,1.06196,0.004852,0.004852,0.004852
54,13234.3,0.89421,0.67223,1.09789,0.95625,0.8937,0.94962,0.79293,0.79346,0.56872,1.06017,0.004753,0.004753,0.004753
55,13584.4,0.88877,0.66561,1.09434,0.9543,0.89947,0.95043,0.79454,0.78813,0.56615,1.05733,0.004654,0.004654,0.004654
56,13926.5,0.88647,0.66359,1.09331,0.95052,0.89881,0.9505,0.79537,0.78856,0.56389,1.05918,0.004555,0.004555,0.004555
57,14282.5,0.88828,0.66194,1.08955,0.95249,0.89788,0.95084,0.79573,0.78385,0.55847,1.05391,0.004456,0.004456,0.004456
58,14643.8,0.87791,0.65614,1.08839,0.95911,0.89373,0.95135,0.79723,0.78153,0.55517,1.05204,0.004357,0.004357,0.004357
59,14996.5,0.87585,0.65118,1.08514,0.95441,0.89733,0.95105,0.79888,0.78052,0.55452,1.05132,0.004258,0.004258,0.004258
60,15344.9,0.86943,0.64421,1.07988,0.95499,0.89742,0.95134,0.80025,0.7764,0.5507,1.04907,0.004159,0.004159,0.004159
61,15687.7,0.87073,0.64657,1.08296,0.95798,0.89642,0.95221,0.80221,0.77247,0.54505,1.04797,0.00406,0.00406,0.00406
62,16034.3,0.86668,0.64402,1.07871,0.95589,0.89967,0.95243,0.80336,0.77063,0.54181,1.04697,0.003961,0.003961,0.003961
63,16387.7,0.86344,0.64147,1.07682,0.95681,0.90003,0.9529,0.80433,0.76825,0.54121,1.04523,0.003862,0.003862,0.003862
64,16740.1,0.85482,0.62838,1.0744,0.95862,0.90029,0.95321,0.80481,0.76573,0.53857,1.04385,0.003763,0.003763,0.003763
65,17092.6,0.85683,0.63132,1.07814,0.95756,0.90155,0.95366,0.80612,0.76388,0.53666,1.04372,0.003664,0.003664,0.003664
66,17435.3,0.8517,0.62198,1.07365,0.95616,0.90188,0.95387,0.80679,0.76162,0.53353,1.04275,0.003565,0.003565,0.003565
67,17780.1,0.84513,0.62031,1.06888,0.95846,0.89994,0.95366,0.80725,0.76088,0.53199,1.04147,0.003466,0.003466,0.003466
68,18155.3,0.84641,0.6226,1.07098,0.95941,0.90082,0.95353,0.80826,0.75961,0.53086,1.04122,0.003367,0.003367,0.003367
69,18515.2,0.83425,0.60787,1.06197,0.95864,0.90288,0.95427,0.8097,0.75715,0.52708,1.03932,0.003268,0.003268,0.003268
70,18865.8,0.83699,0.60638,1.06508,0.95997,0.90219,0.95472,0.81039,0.75568,0.52461,1.03832,0.003169,0.003169,0.003169
71,19211.6,0.83497,0.60444,1.06178,0.95836,0.90474,0.95487,0.81177,0.75341,0.52196,1.03648,0.00307,0.00307,0.00307
72,19554.1,0.83591,0.60702,1.06265,0.95849,0.90532,0.95529,0.81272,0.75131,0.52055,1.03509,0.002971,0.002971,0.002971
73,19902.7,0.8237,0.59752,1.05628,0.96018,0.90475,0.95531,0.81331,0.74968,0.51911,1.03424,0.002872,0.002872,0.002872
74,20249.7,0.8241,0.59375,1.05491,0.95652,0.90805,0.95544,0.81363,0.74833,0.51797,1.0334,0.002773,0.002773,0.002773
75,20591.7,0.82005,0.58845,1.05366,0.9585,0.90665,0.95543,0.81385,0.74639,0.51705,1.03205,0.002674,0.002674,0.002674
76,20937.2,0.81451,0.58367,1.05299,0.95853,0.90709,0.95562,0.81416,0.74517,0.51549,1.03177,0.002575,0.002575,0.002575
77,21281.5,0.81245,0.58697,1.05148,0.96051,0.90648,0.95558,0.8148,0.74387,0.51408,1.03114,0.002476,0.002476,0.002476
78,21650.3,0.81008,0.58029,1.05025,0.96164,0.90482,0.95558,0.81521,0.74234,0.51287,1.03039,0.002377,0.002377,0.002377
79,22004.2,0.80786,0.58006,1.04564,0.96325,0.90476,0.95571,0.81564,0.74077,0.51135,1.02887,0.002278,0.002278,0.002278
80,22349.1,0.80315,0.56853,1.04368,0.96215,0.90636,0.95599,0.81619,0.73954,0.50973,1.02775,0.002179,0.002179,0.002179
81,22701.5,0.79742,0.56417,1.04027,0.96139,0.90763,0.95616,0.81666,0.73834,0.50823,1.02736,0.00208,0.00208,0.00208
82,23050.6,0.79998,0.5684,1.04158,0.95867,0.90963,0.95634,0.81713,0.73703,0.50656,1.02634,0.001981,0.001981,0.001981
83,23401.4,0.79408,0.56496,1.04136,0.96012,0.9093,0.95641,0.81769,0.73544,0.50532,1.02545,0.001882,0.001882,0.001882
84,23749.2,0.7887,0.55473,1.03636,0.96094,0.90927,0.95666,0.81819,0.73428,0.50457,1.02438,0.001783,0.001783,0.001783
85,24094,0.78581,0.55413,1.03416,0.96121,0.9097,0.95683,0.8186,0.73346,0.50337,1.02361,0.001684,0.001684,0.001684
86,24447.1,0.78219,0.54907,1.03333,0.9609,0.9109,0.95698,0.8191,0.73252,0.50224,1.02295,0.001585,0.001585,0.001585
87,24795.3,0.77925,0.55063,1.03142,0.96046,0.91143,0.95701,0.81973,0.7314,0.50111,1.02208,0.001486,0.001486,0.001486
88,25156.6,0.77229,0.54309,1.02838,0.95962,0.91195,0.95713,0.82014,0.73043,0.50017,1.02143,0.001387,0.001387,0.001387
89,25514.2,0.77287,0.54267,1.02927,0.96014,0.9116,0.95724,0.82038,0.72975,0.49942,1.02093,0.001288,0.001288,0.001288
90,25863.3,0.76843,0.53802,1.02702,0.96032,0.91168,0.95752,0.82085,0.72906,0.49856,1.02049,0.001189,0.001189,0.001189
91,26176.4,0.71035,0.45977,1.00909,0.96047,0.91249,0.95773,0.82097,0.72831,0.49811,1.01993,0.00109,0.00109,0.00109
92,26419,0.69607,0.44494,1.00388,0.96062,0.91152,0.95774,0.82125,0.72738,0.49742,1.01943,0.000991,0.000991,0.000991
93,26726.9,0.68734,0.43706,0.99778,0.96129,0.91117,0.95798,0.82163,0.72646,0.49685,1.0189,0.000892,0.000892,0.000892
94,27032.2,0.68234,0.43455,0.99285,0.96256,0.91089,0.95804,0.82214,0.72539,0.49581,1.01828,0.000793,0.000793,0.000793
95,27384,0.67637,0.43131,0.98968,0.96183,0.91125,0.9581,0.8226,0.72451,0.49485,1.01759,0.000694,0.000694,0.000694
96,27681.6,0.67046,0.42317,0.98704,0.96065,0.91259,0.95822,0.82318,0.72355,0.49392,1.01697,0.000595,0.000595,0.000595
97,27957,0.6634,0.42099,0.98391,0.96254,0.91156,0.95828,0.82324,0.72285,0.49315,1.01647,0.000496,0.000496,0.000496
98,28269.8,0.65792,0.41357,0.9815,0.96353,0.91131,0.95825,0.82335,0.72194,0.49255,1.01588,0.000397,0.000397,0.000397
99,28575.7,0.65151,0.40909,0.97788,0.96374,0.91139,0.95814,0.82369,0.72115,0.49171,1.01539,0.000298,0.000298,0.000298
100,28965.7,0.65298,0.41331,0.97953,0.96477,0.91097,0.9583,0.82406,0.72052,0.49104,1.01503,0.000199,0.000199,0.000199
