sintoma,texto,deficiencia de nutrientes,disponible en ingredientes,source
fatiga,desde hace semanas me falta fuerza incluso con tareas simples,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,estos dias me falta fuerza incluso con tareas simples y me preocupa,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,me despierto cansado aunque haya dormido,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",original
fatiga,me despierto rendido aunque haya dormido y va a peor,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,ultimamente me despierto fatigado aunque haya dormido,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,me despierto fatigado aunque haya dormido,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,siento un bajon de energia durante la tarde,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",original
fatiga,estos dias siento un bajon de energia durante la tarde,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,por las mananas siento un bajon de energia durante la tarde y va a peor,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,estos dias siento un bajon de energia durante la tarde y me preocupa,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
dolor de cabeza,tengo dolor de cabeza casi a diario,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",original
dolor de cabeza,tengo jaqueca casi a diario,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,de un tiempo a esta parte tengo jaqueca casi a diario y va a peor,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,tengo me duele la cabeza casi a diario y cada vez mas frecuente,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me duele la cabeza desde la manana,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",original
dolor de cabeza,desde hace semanas me duele la cabeza desde la manana,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me duele la cabeza desde la manana y me preocupa,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,desde hace semanas me duele la cabeza desde la manana y me preocupa,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,siento presion en la cabeza,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",original
dolor de cabeza,de un tiempo a esta parte siento presion en la cabeza,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,por las mananas siento presion en la cabeza y me pasa a menudo,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,por las mananas siento presion en la cabeza y cada vez mas frecuente,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me molestan las luces por el dolor de cabeza,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",original
dolor de cabeza,me molestan las luces por el cefalea y no se por que,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me molestan las luces por el me duele la cabeza y me pasa a menudo,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me molestan las luces por el jaqueca,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me viene jaqueca despues de trabajar,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",original
dolor de cabeza,por las mananas me viene dolor de cabeza despues de trabajar y me preocupa,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,me viene cefalea despues de trabajar,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
dolor de cabeza,ultimamente me viene dolor de cabeza despues de trabajar y me pasa a menudo,magnesio; riboflavina (b2); potasio,"aguacate, platano, patata, tomate, calabacines, brocoli, coliflor, pepino, leche, yogur, queso, huevos, champinones, carne vacuno, carne cerdo, carne pollo, carne pavo, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco",parafraseado
caida de cabello,se me cae mucho el cabello,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",original
caida de cabello,desde hace semanas se me cae mucho el cabello,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,estos dias se me cae mucho el cabello y no se por que,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,de un tiempo a esta parte se me cae mucho el cabello y no se por que,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,veo mas pelo en la ducha y la almohada,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",original
caida de cabello,veo mas pelo en la ducha y la almohada y no se por que,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,por las mananas veo mas pelo en la ducha y la almohada,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,veo mas pelo en la ducha y la almohada y me pasa a menudo,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,mi pelo esta mas fino y se rompe,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",original
caida de cabello,por las mananas mi pelo esta mas fino y se rompe y me preocupa,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,mi pelo esta mas fino y se rompe y me preocupa,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,por las mananas mi pelo esta mas fino y se rompe y no se por que,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,tengo entradas mas marcadas ultimamente,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",original
caida de cabello,tengo entradas mas marcadas ultimamente y no se por que,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,ultimamente tengo entradas mas marcadas ultimamente y cada vez mas frecuente,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,de un tiempo a esta parte tengo entradas mas marcadas ultimamente,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,noto perdida de cabello al peinarme,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",original
caida de cabello,noto perdida de cabello al peinarme y me preocupa,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,estos dias noto perdida de cabello al peinarme y cada vez mas frecuente,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
caida de cabello,desde hace semanas noto perdida de cabello al peinarme y me preocupa,zinc; biotina (b7); hierro; selenio; proteina,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
piel seca,tengo la piel muy seca y tirante,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",original
piel seca,por las mananas tengo la piel muy seca y tirante y va a peor,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,por las mananas tengo la piel muy seca y tirante,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,estos dias tengo la piel muy seca y tirante,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,mi piel se descama facilmente,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",original
piel seca,ultimamente mi piel se descama facilmente,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,mi piel se descama facilmente y no se por que,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,mi piel se descama facilmente y cada vez mas frecuente,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,uso crema pero la piel sigue seca,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",original
piel seca,desde hace semanas uso crema pero la piel sigue seca y no se por que,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,ultimamente uso crema pero la piel sigue seca y no se por que,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,por las mananas uso crema pero la piel sigue seca y me preocupa,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,siento picores por sequedad,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",original
piel seca,siento picores por sequedad y cada vez mas frecuente,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,siento picores por sequedad y va a peor,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,desde hace semanas siento picores por sequedad,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,mi piel se agrieta con facilidad,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",original
piel seca,de un tiempo a esta parte mi piel se agrieta con facilidad,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,desde hace semanas mi piel se agrieta con facilidad,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
piel seca,mi piel se agrieta con facilidad y no se por que,vitamina a; omega-3; zinc,"zanahoria, lechuga/endivia, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, queso, leche, yogur, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
unas quebradizas,mis unas se rompen con facilidad,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",original
unas quebradizas,mis unas se rompen con facilidad y me pasa a menudo,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,estos dias mis unas se rompen con facilidad y va a peor,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,desde hace semanas mis unas se rompen con facilidad y me pasa a menudo,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,tengo unas debiles y quebradizas,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",original
unas quebradizas,estos dias tengo unas debiles y quebradizas,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,por las mananas tengo unas debiles y quebradizas y me preocupa,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,ultimamente tengo unas debiles y quebradizas y me preocupa,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",parafraseado
unas quebradizas,las capas de las unas se levantan,biotina (b7); zinc; hierro; proteina,"huevos, salmon, carne cerdo, carne vacuno, carne pollo, carne pavo, salchichas, merluza, lubina, gambas/langostinos, mix de marisco/molusco, queso, yogur, leche, champinones, coliflor, aguacate",original
